simulation_index,step,time,point_index,z,C1,C2,C3,C4,C5,C6
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,5.000000000000000000e+01,4.321608040201004997e+01,1.984045738778494298e+07,5.281389821063169092e+07,1.868407575000235438e+07,9.496518811279768124e+06,4.100341455336736399e+05,9.919233217420887377e+04
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,5.100000000000000000e+01,4.408040201005024983e+01,2.055300164095901698e+07,5.445587918722217530e+07,1.907416675444585457e+07,9.663576865622596815e+06,4.165850938153241295e+05,1.007499873731435218e+05
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,5.200000000000000000e+01,4.494472361809044969e+01,2.127409745208772272e+07,5.610438018874850124e+07,1.945980254526767507e+07,9.828229918077254668e+06,4.230323409419878153e+05,1.022825624091245991e+05
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,5.300000000000000000e+01,4.580904522613064955e+01,2.200349339464509487e+07,5.775855922221229970e+07,1.984085927796952054e+07,9.990436842202028260e+06,4.293742794978226302e+05,1.037896751724876522e+05
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,5.400000000000000000e+01,4.667336683417084942e+01,2.274093634928094968e+07,5.941758214324941486e+07,2.021721687962544337e+07,1.015015713608265854e+07,4.356093282400486642e+05,1.052709498821683519e+05
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,5.500000000000000000e+01,4.753768844221105638e+01,2.348617156484802067e+07,6.108062266454645246e+07,2.058875882863826677e+07,1.030735092902947403e+07,4.417359324941036757e+05,1.067260171796109207e+05
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,5.600000000000000000e+01,4.840201005025125625e+01,2.423894271983467415e+07,6.274686236655897647e+07,2.095537195737168565e+07,1.046197898881695606e+07,4.477525645421625813e+05,1.081545142210728227e+05
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,5.700000000000000000e+01,4.926633165829145611e+01,2.499899198418875784e+07,6.441549071043971181e+07,2.131694627545107156e+07,1.061400272932083346e+07,4.536577240049266256e+05,1.095560847683030734e+05
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,5.800000000000000000e+01,5.013065326633165597e+01,2.576606008151967824e+07,6.608570505308943987e+07,2.167337481173554808e+07,1.076338421843692288e+07,4.594499382165875868e+05,1.109303792775719194e+05
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,5.900000000000000000e+01,5.099497487437185583e+01,2.653988635166607425e+07,6.775671066424565017e+07,2.202455347315289080e+07,1.091008618618923426e+07,4.651277625928771449e+05,1.122770549870298564e+05
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,6.000000000000000000e+01,5.185929648241205570e+01,2.732020881361675635e+07,6.942772074552524090e+07,2.237038091876025870e+07,1.105407203295319527e+07,4.706897809921076987e+05,1.135957760023749433e+05
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,6.100000000000000000e+01,5.272361809045226266e+01,2.810676422877179831e+07,7.109795645133739710e+07,2.271075844754839316e+07,1.119530583773469552e+07,4.761346060691191815e+05,1.148862133808066428e+05
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,6.200000000000000000e+01,5.358793969849246253e+01,2.889928816453026980e+07,7.276664691158376634e+07,2.304558989864724502e+07,1.133375236645724624e+07,4.814608796220415388e+05,1.161480452132462378e+05
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,6.300000000000000000e+01,5.445226130653266239e+01,2.969751505819065869e+07,7.443302925606152415e+07,2.337478156271792948e+07,1.146937708021897636e+07,4.866672729317900958e+05,1.173809567048028402e+05
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,6.400000000000000000e+01,5.531658291457286225e+01,3.050117828114939854e+07,7.609634864048746228e+07,2.369824210343053564e+07,1.160214614348850399e+07,4.917524870942080161e+05,1.185846402534656518e+05
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,6.500000000000000000e+01,5.618090452261306211e+01,3.131001020338268578e+07,7.775585827405989170e+07,2.401588248803166673e+07,1.173202643221472949e+07,4.967152533447746537e+05,1.197587955270027305e+05
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,6.600000000000000000e+01,5.704522613065326198e+01,3.212374225819616392e+07,7.941081944847677648e+07,2.432761592609950155e+07,1.185898554183024168e+07,5.015543333757995279e+05,1.209031295380473020e+05
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,6.700000000000000000e+01,5.790954773869346184e+01,3.294210500722698867e+07,8.106050156832905114e+07,2.463335781566957384e+07,1.198299179513184913e+07,5.062685196460236330e+05,1.220173567173531774e+05
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,6.800000000000000000e+01,5.877386934673366881e+01,3.376482820568221062e+07,8.270418218278889358e+07,2.493302569599146396e+07,1.210401425002472661e+07,5.108566356825506664e+05,1.231011989852010011e+05
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,6.900000000000000000e+01,5.963819095477386867e+01,3.459164086779733747e+07,8.434114701851403713e+07,2.522653920624671131e+07,1.222202270711904205e+07,5.153175363750343095e+05,1.241543858209375903e+05
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,7.000000000000000000e+01,6.050251256281406853e+01,3.542227133249855787e+07,8.597069001368953288e+07,2.551382004962127283e+07,1.233698771716986783e+07,5.196501082620486268e+05,1.251766543306313542e+05
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,7.100000000000000000e+01,6.136683417085426839e+01,3.625644732925161719e+07,8.759211335312998295e+07,2.579479196218322590e+07,1.244888058835275844e+07,5.238532698095693486e+05,1.261677493128267233e+05
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,7.200000000000000000e+01,6.223115577889446826e+01,3.709389604408048838e+07,8.920472750436584651e+07,2.606938068606825173e+07,1.255767339336848632e+07,5.279259716814984567e+05,1.271274233223815390e+05
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,7.300000000000000000e+01,6.309547738693466812e+01,3.793434418573836982e+07,9.080785125463847816e+07,2.633751394652223960e+07,1.266333897637156397e+07,5.318671970021649031e+05,1.280554367323714832e+05
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,7.400000000000000000e+01,6.395979899497487509e+01,3.877751805201332271e+07,9.240081174873025715e+07,2.659912143239294365e+07,1.276585095971786417e+07,5.356759616107344627e+05,1.289515577940460353e+05
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,7.500000000000000000e+01,6.482412060301507495e+01,3.962314359615086764e+07,9.398294452755573392e+07,2.685413477970109135e+07,1.286518375052733347e+07,5.393513143074685941e+05,1.298155626948212303e+05
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,7.600000000000000000e+01,6.568844221105527481e+01,4.047094649337543547e+07,9.555359356744256616e+07,2.710248755795586482e+07,1.296131254705836065e+07,5.428923370917680440e+05,1.306472356142948265e+05
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,7.700000000000000000e+01,6.655276381909547467e+01,4.132065220749238133e+07,9.711211132003076375e+07,2.734411525891173258e+07,1.305421334489067644e+07,5.462981453919432824e+05,1.314463687782697671e+05
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,7.800000000000000000e+01,6.741708542713567454e+01,4.217198605755247921e+07,9.865785875272053480e+07,2.757895528749145940e+07,1.314386294291413017e+07,5.495678882866568165e+05,1.322127625107726490e+05
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,7.900000000000000000e+01,6.828140703517587440e+01,4.302467328456021100e+07,1.001902053895998448e+08,2.780694695462658629e+07,1.323023894912090339e+07,5.527007487179775489e+05,1.329462252840544679e+05
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,8.000000000000000000e+01,6.914572864321607426e+01,4.387843911820749938e+07,1.017085293527844101e+08,2.802803147178959474e+07,1.331331978619897552e+07,5.556959436959992163e+05,1.336465737665606139e+05
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,8.100000000000000000e+01,7.001005025125627412e+01,4.473300884361441433e+07,1.032122174041031450e+08,2.824215194701343402e+07,1.339308469692486897e+07,5.585527244949680753e+05,1.343136328688588401e+05
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,8.200000000000000000e+01,7.087437185929647399e+01,4.558810786805824935e+07,1.047006649870646149e+08,2.844925338221307471e+07,1.346951374935386702e+07,5.612703768408744363e+05,1.349472357875133166e+05
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,8.300000000000000000e+01,7.173869346733667385e+01,4.644346178767280281e+07,1.061732762690399885e+08,2.864928267164127156e+07,1.354258784180602059e+07,5.638482210904572858e+05,1.355472240468940290e+05
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,8.400000000000000000e+01,7.260301507537688792e+01,4.729879645409972966e+07,1.076294641836000383e+08,2.884218860132632405e+07,1.361228870764642395e+07,5.662856124015821842e+05,1.361134475389111321e+05
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,8.500000000000000000e+01,7.346733668341708778e+01,4.815383804107396305e+07,1.090686504729449451e+08,2.902792184935394675e+07,1.367859891985834390e+07,5.685819408949454082e+05,1.366457645606643055e+05
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,8.600000000000000000e+01,7.433165829145728765e+01,4.900831311092597991e+07,1.104902657303670943e+08,2.920643498686824366e+07,1.374150189540783875e+07,5.707366318070677808e+05,1.371440418499976804e+05
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,8.700000000000000000e+01,7.519597989949748751e+01,4.986194868098355830e+07,1.118937494426881224e+08,2.937768247967840731e+07,1.380098189939866588e+07,5.727491456345374463e+05,1.376081546189515211e+05
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,8.800000000000000000e+01,7.606030150753768737e+01,5.071447228985690325e+07,1.132785500326134115e+08,2.954162069036848471e+07,1.385702404901632108e+07,5.746189782694667811e+05,1.380379865851024806e+05
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,8.900000000000000000e+01,7.692462311557788723e+01,5.156561206359081715e+07,1.146441249009482712e+08,2.969820788081700355e+07,1.390961431726009585e+07,5.763456611261303769e+05,1.384334300007840793e+05
0.000000000000000000e+00,5.990000000000000000e+02,5.990000000000000568e+01,9.000000000000000000e+01,7.778894472361808710e+01,5.241509678166875988e+07,1.159899404686217308e+08,2.984740421504199505e+07,1.395873953646222502e+07,5.779287612587501062e+05,1.387943856801811198e+05
